Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Arc Minute","Barn Area > Hospital Boulders > Alabama",https://www.mountainproject.com/route/111391928/arc-minute,3.0,-1,Boulder,V3-4,1,,34.07677,-86.01818
"Arrow Head","Bankhead Forest/Ship Rock > Alabama",https://www.mountainproject.com/route/106249536/arrow-head,4.0,-1,Boulder,V3-4,1,30,34.31983,-87.46345
Horsepower,"The Middle/ Flow Area > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/107409842/horsepower,3.0,-1,Boulder,V3-4,1,8,33.92065,-86.30882
"Arc Second","Barn Area > Hospital Boulders > Alabama",https://www.mountainproject.com/route/111391920/arc-second,2.5,-1,Boulder,V3-4,1,,34.07677,-86.01818
"Mistaken Identity","Skywalker Area > The Middle > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/108748108/mistaken-identity,3.0,-1,Boulder,V3-4,1,9,33.92051,-86.30913
"She Cave Right","All The Cave > The Rocks that are Higher than I Bouldering Area > Hurricane Creek Bouldering Problems > Hurricane Creek Park (Tuscaloosa) > Alabama",https://www.mountainproject.com/route/116572935/she-cave-right,3.0,-1,Boulder,V3-4,1,9,33.21397,-87.44956
"Killough Face","Spirit Area > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106953996/killough-face,2.6,-1,Boulder,V3-4,1,20,33.92092,-86.30788
Tickler,"Turtle Rock Area/ Whiplash Boulders. > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/107391718/tickler,2.0,-1,Boulder,V3-4,1,6,33.92088,-86.30879
Acrophobia,"Spirit Area > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/120005264/acrophobia,2.0,-1,Boulder,V3-4,1,3,33.92092,-86.30788
"pinch it off","Barn Area > Hospital Boulders > Alabama",https://www.mountainproject.com/route/114184285/pinch-it-off,2.0,-1,Boulder,V3-4,1,10,34.07677,-86.01818
"Matt's Rock","Lakeshore Trail Boulders > Smith Mountain > Alabama",https://www.mountainproject.com/route/113768355/matts-rock,2.0,-1,Boulder,V3-4,1,,32.81024,-85.83817
"Nancy Pelosi's Bush","New Sub-Area 1 > Rainbow Mountain > Alabama",https://www.mountainproject.com/route/123676051/nancy-pelosis-bush,2.5,-1,Boulder,V3-4,1,10,34.73235,-86.72746
Tetris,"Boulder Area C > Noccalula Falls > Alabama",https://www.mountainproject.com/route/125050580/tetris,3.0,-1,Boulder,V3-4,1,,34.03997,-86.02552
