Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Beached Whale","Beached Whale Boulder > Alcove Area > Hammond Pond > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/106958719/beached-whale,3.1,-1,Boulder,V6,1,,42.3226,-71.17434
"Dean's Problem","Stone Tower Boulder > Stone Tower Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106923099/deans-problem,2.6,-1,Boulder,V6,1,12,42.49079,-70.98626
"D. Dog Leg Crack (SDS)","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908994/d-dog-leg-crack-sds,3.6,-1,Boulder,V6,1,18,42.4988,-70.99573
"Keep Your Eyes On The Prize","The Hidden Boulder > Stone Tower Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106906560/keep-your-eyes-on-the-prize,3.2,-1,Boulder,V6,1,,42.49008,-70.98195
"Dead on Arrival (SDS)","Back Door Boulders > Bow Ridge Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/112802245/dead-on-arrival-sds,3.5,-1,Boulder,V6,1,10,42.50741,-71.00654
"Cue the Crickets","The Gem Boulders > Stone Tower Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106910513/cue-the-crickets,3.4,-1,Boulder,V6,1,15,42.48984,-70.9873
"Final Judgment","Beehive Boulders > North Side > Dykes Pond (Gloucester) > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/108185142/final-judgment,3.6,-1,Boulder,V6,1,12,42.61503,-70.72428
"Skunk Cabbage","Trillium Boulder > State Line Boulders > Townsend, MA Bouldering > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/120399464/skunk-cabbage,4.0,-1,Boulder,V6,1,15,42.70634,-71.77129
"Pulpit Arete","Peter's Pulpit > Dogtown > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/108287141/pulpit-arete,4.0,-1,Boulder,V6,1,14,42.64607,-70.64934
"Puppy Traverse","Atlantis Boulder > Backshore Boulders > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/122956246/puppy-traverse,4.0,-1,Boulder,V6,1,20,42.60652,-70.63263
