Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Turn Your Head and Cough","Pontoon Wall > WM: Trapper's Camp > Missouri",https://www.mountainproject.com/route/105900966/turn-your-head-and-cough,3.8,-1,Sport,5.10c/d,1,65,38.01576,-93.71755
"Around Town","South Area > CM: Providence > Missouri",https://www.mountainproject.com/route/112359193/around-town,2.9,-1,Sport,5.10c/d,1,60,38.83282,-92.40041
"Point Break","A: North Column > 2: North, Climber's Right of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/120220425/point-break,3.5,-1,Sport,5.10c/d,1,65,38.01213,-90.62722
"Baboon (aka Goat's Beard)","South Area > CM: Providence > Missouri",https://www.mountainproject.com/route/112117820/baboon-aka-goats-beard,3.0,-1,"Sport, TR",5.10c/d,1,60,38.83282,-92.40041
"Storm King","A: North Column > 2: North, Climber's Right of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/120220476/storm-king,2.9,-1,Sport,5.10c/d,1,80,38.01213,-90.62722
"The Gnomes Curse","Wizard's Point > EM: Sage Mountain Recreation Area > Missouri",https://www.mountainproject.com/route/123132958/the-gnomes-curse,3.0,-1,"Sport, TR",5.10c/d,1,,38.61651,-91.27803
"Legacy Falls","C: Legacy Wall > 1: South, Climber's Left of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/116576947/legacy-falls,3.0,-1,Sport,5.10c/d,1,60,38.01123,-90.6282
Cacahuate,"Colony Wall > EM: Rockwoods Reservation > Missouri",https://www.mountainproject.com/route/123477539/cacahuate,3.1,-1,Sport,5.10c/d,1,40,38.56144,-90.64772
"St. Stephen","Battress Area > North Area > CM: Providence > Missouri",https://www.mountainproject.com/route/111921807/st-stephen,2.6,-1,Sport,5.10c/d,1,65,38.84356,-92.41251
"Blue Orchid","D: Vineyard > 1: South, Climber's Left of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/118224371/blue-orchid,2.6,-1,Sport,5.10c/d,1,90,38.01077,-90.62862
"Flexible Flakes","Andromeda Buttress > CM: Andromeda > Missouri",https://www.mountainproject.com/route/105960412/flexible-flakes,2.6,-1,Sport,5.10c/d,1,,38.93575,-92.50916
"Pillow Fort","A: Lily Wall > 1: South, Climber's Left of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/114207947/pillow-fort,1.7,-1,Sport,5.10c/d,1,45,38.01189,-90.62741
Warrior,"E: Apache > 1: South, Climber's Left of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/123634188/warrior,3.3,-1,Sport,5.10c/d,1,70,38.01051,-90.62868
